microbe_id	batch_id	plant_id	photo_id	OD	var_fresh_weight_mg	var_dry_weight_mg	var_rosette_diameter_cm	var_rosette_leaves	var_dry_rosette_leaves	var_stem_leaves	var_stem_height_cm	var_number_of_stems	var_stem_siliques	comments	condition
Control	4	A1	4_nacl_control_1	0	685	160	7.3	17	3	9	15.5	2	13		nacl
Control	4	A2	4_nacl_control_1	0	604	169	10	16	3	6	16.2	3	21		nacl
Control	4	B1	4_nacl_control_1	0	106	36	4.7	11	2	5	0.1	1	1		nacl
Control	4	B2	4_nacl_control_1	0	137	51	6.2	10	2	8	6.7	1	1		nacl
Control	4	B3	4_nacl_control_1	0	202	52	5.8	8	2	9	10.6	1	12		nacl
Control	4	C1	4_nacl_control_1	0	173	60	4.6	9	2	4	7.5	1	5		nacl
Control	4	C2	4_nacl_control_1	0	192	49	5.7	14	1	4	5	2	8		nacl
Control	4	C3	4_nacl_control_1	0	184	50	4	8	3	1	0.1	1	0		nacl
E. coli	4	A1	4_nacl_ecoli_1	0.9	465	127	8.5	13	1	7	4.5	2	5		nacl
E. coli	4	A2	4_nacl_ecoli_1	0.9	67	22	4.8	8	3	5	0	1	1		nacl
E. coli	4	A3	4_nacl_ecoli_1	0.9	90	33	5.4	7	3	9	0.7	1	1		nacl
E. coli	4	B1	4_nacl_ecoli_1	0.9	167	62	6.1	11	2	4	1.2	1	2		nacl
E. coli	4	B2	4_nacl_ecoli_1	0.9	115	32	5	4	6	4	0	2	2		nacl
E. coli	4	B3	4_nacl_ecoli_1	0.9	191	57	4.5	8	1	3	2.2	1	3		nacl
E. coli	4	C1	4_nacl_ecoli_1	0.9	167	62	6.2	8	2	6	3.5	2	5		nacl
E. coli	4	C2	4_nacl_ecoli_1	0.9	72	27	7	7	1	3	0	1	1		nacl
E. coli	4	C3	4_nacl_ecoli_1	0.9	59	23	4.8	6	2	0	0	0	0		nacl
166	4	A1	4_nacl_166_1	0.6	159	50	4.2	10	4	4	15	2	10		nacl
166	4	A2	4_nacl_166_1	0.6	201	44	4.4	8	1	7	8.2	1	4		nacl
166	4	A3	4_nacl_166_1	0.6	53	25	4	6	4	5	12.5	1	8		nacl
166	4	B1	4_nacl_166_1	0.6	157	48	6	11	4	7	9.2	2	8		nacl
166	4	B2	4_nacl_166_1	0.6	127	50	4.7	9	2	8	4.9	2	3		nacl
166	4	B3	4_nacl_166_1	0.6	151	53	5.7	11	2	10	6.8	1	9		nacl
166	4	C1	4_nacl_166_1	0.6	198	60	4.6	10	0	0	0	1	0		nacl
166	4	C2	4_nacl_166_1	0.6	192	67	5.5	9	2	5	9.8	1	4		nacl
166	4	C3	4_nacl_166_1	0.6	220	69	5.3	15	3	4	5.4	2	2		nacl
166	4	C4	4_nacl_166_1	0.6	50	0	2.8	5	1	2	7.5	1	6		nacl
175	4	A1	NA	0.9	245	78	6.6	12	3	5	10	2	6		nacl
175	4	A2	NA	0.9	214	63	5.4	12	3	4	16.5	1	16		nacl
175	4	A3	NA	0.9	221	63	7	11	2	4	10.8	1	10		nacl
175	4	B1	NA	0.9	342	109	7.2	7	1	3	2.3	2	2		nacl
175	4	B2	NA	0.9	244	63	5.4	9	1	7	11	2	10		nacl
175	4	B3	NA	0.9	266	68	7	9	1	4	9.8	1	9		nacl
175	4	C1	NA	0.9	198	64	4.5	11	0	7	0	1	0		nacl
175	4	C2	NA	0.9	126	43	5.4	10	1	3	5	1	5		nacl
175	4	C3	NA	0.9	172	52	5.2	13	1	4	4.5	1	5		nacl
186	4	A1	4_nacl_186_1	0.9	294	83	6.4	13	4	10	11.6	1	13		nacl
186	4	A2	4_nacl_186_1	0.9	168	47	7.5	7	0	0	0	1	0		nacl
