microbe_id	batch_id	plant_id	photo_id	OD	var_fresh_weight_mg	var_dry_weight_mg	var_rosette_diameter_cm	var_rosette_leaves	var_dry_rosette_leaves	var_stem_leaves	var_stem_height_cm	var_number_of_stems	var_stem_siliques	comments	condition
Control	3	A1	NA	0.0	158	23	3.9	16	1	1	0.1	1	NA		pgp
Control	3	A2	NA	0.0	193	27	5.1	18	2	NA	0.1	1	NA		pgp
Control	3	A3	NA	0.0	36	5	2.4	8	1	0	0	0	0		pgp
Control	3	A4	NA	0.0	42	5	2.8	8	0	0	0	0	0		pgp
Control	3	A5	NA	0.0	128	18	4.4	10	1	NA	1	1	NA		pgp
Control	3	B1	NA	0.0	54	5	3.6	8	1	0	0	0	0		pgp
Control	3	B2	NA	0.0	143	16	5.0	8	0	0	0	0	0		pgp
Control	3	B3	NA	0.0	331	46	6.7	18	1	3	1.6	1	2		pgp
Control	3	C1	NA	0.0	48	14	2.8	10	1	0	0	0	0		pgp
Control	3	C2	NA	0.0	45	17	5.0	12	1	0	0	0	0		pgp
Control	3	C3	NA	0.0	29	9	3.2	8	1	0	0	0	0		pgp
Control	3	D1	NA	0.0	39	17	1.6	6	0	3	1.8	1	0		pgp
Control	3	D2	NA	0.0	50	8	3.2	10	0	0	0	0	0		pgp
E. coli	3	A1	NA	0.9	38	33	5.4	17	2	0	0.3	1	1		pgp
E. coli	3	A2	NA	0.9	18	15	4.6	11	4	0	0	0	0		pgp
E. coli	3	A3	NA	0.9	12	9	3.5	10	1	0	0	0	0		pgp
E. coli	3	B1	NA	0.9	72	55	5.4	17	1	0	0	0	0		pgp
E. coli	3	B2	NA	0.9	30	17	4.3	11	3	0	0	0	0		pgp
E. coli	3	C1	NA	0.9	11	11	4.4	10	2	0	0	0	0		pgp
E. coli	3	C2	NA	0.9	12	11	3.6	10	2	0	0	0	0		pgp
E. coli	3	C3	NA	0.9	17	14	4.0	14	2	0	0.4	1	NA		pgp
E. coli	3	D1	NA	0.9	23	12	4.5	9	1	0	0.2	1	NA		pgp
E. coli	3	D2	NA	0.9	19	15	4.5	9	3	1	1.5	1	NA		pgp
E. coli	3	D3	NA	0.9	11	17	4.2	6	0	0	0	0	0		pgp
175	3	A2	NA	0.9	85	10	4.9	12	2	0	0	0	0		pgp
175	3	A1	NA	0.9	65	26	5.6	12	3	0	0	0	0		pgp
175	3	Α3	NA	0.9	63	30	5.4	15	1	0	0	0	0		pgp
175	3	Β1	NA	0.9	389	63	6.0	19	4	2	0.3	3	3		pgp
175	3	B2	NA	0.9	137	18	5.3	16	2	0	0.1	2	2		pgp
175	3	C1	NA	0.9	236	34	4.5	20	3	4	4.3	1	1		pgp
175	3	C2	NA	0.9	32	4	3.0	5	1	1	2.4	1	1		pgp
175	3	C3	NA	0.9	297	38	5.5	24	1	NA	1.5	3	3		pgp
175	3	D	NA	0.9	406	48	5.3	22	1	0	0	0	0		pgp
175	3	E	NA	0.9	34	30	4.5	16	0	0	0	0	0		pgp
204	3	A1	NA	0.9	121	13	4.6	11	2	7	4.9	1	1		pgp
204	3	A2	NA	0.9	187	24	6.5	20	1	0	0	0	0		pgp
204	3	A3	NA	0.9	187	25	5.5	12	2	0	0	0	0		pgp
204	3	A4	NA	0.9	165	20	6.0	14	2	0	0	0	0		pgp
204	3	B1	NA	0.9	568	72	7.4	24	4	9	8.8	2	2		pgp
204	3	B2	NA	0.9	289	39	6.8	18	4	0	0	0	0		pgp
204	3	C1	NA	0.9	239	34	5.1	16	1	0	0	0	0		pgp
204	3	C2	NA	0.9	268	35	6.0	12	1	6	4.2	1	1		pgp
204	3	D1	NA	0.9	397	52	7.5	14	2	6	2.3	1	1		pgp
204	3	D2	NA	0.9	156	22	4.0	16	1	5	4.6	1	1		pgp
234	3	A1	NA	0.9	44	30	5.4	19	1	2	0.1	1	1		pgp
234	3	A2	NA	0.9	25	18	4.0	10	1	0	0	0	0		pgp
234	3	A3	NA	0.9	35	15	4.6	11	3	0	0	0	0		pgp
234	3	B1	NA	0.9	182	30	5.7	12	3	0	0	0	0		pgp
234	3	B2	NA	0.9	70	12	4.5	12	0	0	0	0	0		pgp
234	3	C1	NA	0.9	100	15	5.0	12	1	0	0	0	0		pgp
234	3	C2	NA	0.9	90	15	5.0	6	1	2	2.6	1	1		pgp
234	3	C3	NA	0.9	193	36	14.0	5.3	2	2	1	1	1		pgp
234	3	D	NA	0.9	297	63	7.1	20	1	NA	0.1	1	1		pgp
234	3	E1	NA	0.9	223	24	5.4	8	1	4	5.8	1	2		pgp
234	3	E2	NA	0.9	265	29	6.6	16	1	NA	0.1	1	NA		pgp
234	3	E3	NA	0.9	223	24	5.2	14	0	NA	NA	1	NA		pgp
253	3	A1	NA	0.9	127	34	5.0	19	2	1	0.5	1	1		pgp
253	3	A2	NA	0.9	89	24	4.3	17	3	0	0.3	2	2		pgp
253	3	B1	NA	0.9	433	78	6.3	24	3	4	2.2	1	1		pgp
253	3	C1	NA	0.9	30	8	3.0	9	2	0	0	0	0		pgp
253	3	C2	NA	0.9	87	49	6.4	22	4	0	0	0	0		pgp
253	3	C3	NA	0.9	5	0	2.5	6	2	0	0	0	0		pgp
253	3	D1	NA	0.9	17	12	3.6	14	3	0	0	0	0		pgp
253	3	D2	NA	0.9	24	17	4.7	12	3	0	0	0	0		pgp
253	3	D3	NA	0.9	13	7	3.7	7	1	0	0	0	0		pgp
253	3	E1	NA	0.9	209	37	6.0	24	4	3	4.6	2	2		pgp
263	3	A1	NA	0.9	15	3	3.1	6	2	0	0	0	0		pgp
263	3	A2	NA	0.9	14	4	2.3	8	2	0	0	0	0		pgp
263	3	A3	NA	0.9	57	17	3.3	12	2	0	0.4	1	NA		pgp
263	3	A4	NA	0.9	23	7	2.4	12	2	0	0	0	0		pgp
263	3	A5	NA	0.9	34	6	3.1	12	1	0	0	0	0		pgp
263	3	A6	NA	0.9	66	16	5.0	16	2	0	0	0	0		pgp
263	3	B1	NA	0.9	36	23	5.1	11	0	0	0.2	1	NA		pgp
263	3	B2	NA	0.9	30	23	4.8	14	2	0	0	0	0		pgp
263	3	C1	NA	0.9	43	35	6.3	11	2	0	0	0	0		pgp
263	3	C2	NA	0.9	32	30	5.8	13	2	0	0	0	0		pgp
263	3	D	NA	0.9	356	61	8.7	24	2	2	1.2	1	NA		pgp
