microbe_id	plant_id	batch_id	photo_id	OD	var_fresh_weight_mg	var_dry_weight_mg	var_rosette_diameter_cm	var_rosette_leaves	var_dry_rosette_leaves	var_stem_leaves	var_stem_height_cm	var_number_of_stems	var_stem_siliques	comments	condition
Control	A1	16	16_nacl_control_2	0	459	99	8.2	10	3	0	0.1	1	0		nacl
Control	A2	16	16_nacl_control_2	0	437	88	8.5	9	3	3	17.8	1	18		nacl
Control	A3	16	16_nacl_control_2	0	604	121	8.9	9	3	2	20.5	1	25		nacl
Control	B1	16	16_nacl_control_2	0	359	78	6.9	11	1	7	9.4	2	7		nacl
Control	B2	16	16_nacl_control_2	0	355	63	8.3	9	3	6	9	2	7		nacl
Control	B3	16	16_nacl_control_2	0	406	71	7.2	13	2	0	0	2	0		nacl
Control	C1	16	16_nacl_control_2	0	399	80	7.5	15	4	4	17.6	1	18		nacl
Control	C2	16	16_nacl_control_2	0	245	43	5.3	12	0	5	13.6	1	13		nacl
Control	C3	16	16_nacl_control_2	0	329	61	6.7	12	4	4	18.2	1	14		nacl
003;574;630	A1	16	16_nacl_001_2	0.35	319	62	7.5	7	3	4	10.6	2	10		nacl
003;574;630	A2	16	16_nacl_001_2	0.35	471	77	9.4	11	2	5	12.6	1	12		nacl
003;574;630	A3	16	16_nacl_001_2	0.35	341	72	7.6	10	3	3	19.8	2	18		nacl
003;574;630	B1	16	16_nacl_001_2	0.35	509	105	7.5	11	1	2	17.1	1	15		nacl
003;574;630	B2	16	16_nacl_001_2	0.35	429	88	8.6	10	2	3	16.7	1	18		nacl
003;574;630	B3	16	16_nacl_001_2	0.35	758	142	11.4	10	1	3	8.4	1	9		nacl
003;574;630	C1	16	16_nacl_001_2	0.35	383	77	6.8	12	2	4	15.2	1	13		nacl
003;574;630	C2	16	16_nacl_001_2	0.35	253	59	6	11	2	4	21	1	19		nacl
003;574;630	C3	16	16_nacl_001_2	0.35	192	57	5.6	13	1	3	14.5	1	9		nacl
288;295;378	A1	16	16_nacl_002_2	0.46	402	90	8.5	12	4	5	12.5	1	7		nacl
288;295;378	A2	16	16_nacl_002_2	0.46	463	88	9.2	9	4	3	14.3	2	15		nacl
288;295;378	A3	16	16_nacl_002_2	0.46	164	38	6.3	11	4	3	15.5	1	14		nacl
