microbe_id	batch_id	plant_id	photo_id	OD	var_fresh_weight_mg	var_dry_weight_mg	var_rosette_diameter_cm	var_rosette_leaves	var_dry_rosette_leaves	var_stem_leaves	var_stem_height_cm	var_number_of_stems	var_stem_siliques	comments	condition
Control	1	A1	NA	NA	135	38	7.1	36	NA	NA	0.1	1	NA		water_deficit
Control	1	A2	NA	NA	55	28	4.7	14	NA	NA	NA	NA	NA		water_deficit
Control	1	A3	NA	NA	92	17	6.7	25	3	2	6.5	2	NA		water_deficit
Control	1	B1	NA	NA	150	31	5	16	3	3	6.9	2	NA		water_deficit
Control	1	B2	NA	NA	101	25	5.1	18	4	3	5.9	1	NA		water_deficit
Control	1	B3	NA	NA	108	45	3.5	18	2	3	5.7	2	NA		water_deficit
Control	1	C1	NA	NA	69	38	4.1	14	2	3	9	1	NA		water_deficit
Control	1	C2	NA	NA	86	16	4.5	14	4	2	2.2	1	NA		water_deficit
Control	1	C3	NA	NA	91	37	5.5	13	NA	2	3	1	NA		water_deficit
E. coli	1	A2	NA	NA	41	17	6.1	20	5	NA	NA	NA	NA		water_deficit
E. coli	1	A3	NA	NA	49	63	11	3	NA	NA	NA	NA	NA		water_deficit
E. coli	1	B1	NA	NA	78	35	5.5	17	1	1	0.6	1	NA		water_deficit
E. coli	1	B2	NA	NA	65	41	35	6	1	4	13	2	NA		water_deficit
E. coli	1	B3	NA	NA	114	41	4.8	18	6	5	8.4	1	NA		water_deficit
E. coli	1	C1	NA	NA	81	54	5.6	18	NA	NA	NA	NA	NA		water_deficit
E. coli	1	C2	NA	NA	31	38	4.7	15	4	NA	NA	NA	NA		water_deficit
E. coli	1	C3	NA	NA	77	38	6.1	14	1	1	3.8	1	NA		water_deficit
166	1	A1	NA	NA	19	31	3.9	10	0	0	0	0	0		water_deficit
166	1	A2	NA	NA	36	31	5.6	16	1	2	1.3	1	NA		water_deficit
166	1	A3	NA	NA	51	41	5.4	16	2	3	1.2	1	NA		water_deficit
166	1	B1	NA	NA	28	25	3.8	10	1	3	6.7	1	4		water_deficit
166	1	B2	NA	NA	53	48	5	22	4	3	1.1	2	NA		water_deficit
166	1	B3	NA	NA	41	38	4.9	14	3	NA	0.3	1	NA		water_deficit
166	1	C1	NA	NA	13	11	3.2	12	4	0	0	0	0		water_deficit
166	1	C2	NA	NA	101	95	6.4	26	0	NA	0.2	2	NA		water_deficit
166	1	C3	NA	NA	27	22	5	12	2	5	6.8	1	NA		water_deficit
184	1	A1	NA	NA	126	101	6.4	26	2	NA	0.2	2	NA		water_deficit
184	1	A2	NA	NA	45	34	6.4	16	1	3	2.6	3	NA		water_deficit
184	1	A3	NA	NA	34	25	4.1	23	1	NA	0.1	NA	NA		water_deficit
184	1	B1	NA	NA	116	64	6.5	24	1	NA	0.1	3	NA		water_deficit
184	1	B2	NA	NA	76	37	4.2	20	NA	3	0.1	2	NA		water_deficit
184	1	B3	NA	NA	18	7	3	8	0	0	0	0	0		water_deficit
184	1	C1	NA	NA	53	35	5.3	14	3	4	7	1	NA		water_deficit
184	1	C2	NA	NA	91	59	5.9	16	1	NA	0.1	4	NA		water_deficit
184	1	C3	NA	NA	109	77	4.2	26	NA	6	2.1	3	NA		water_deficit
186	1	A1	NA	NA	87	52	5.9	22	2	4	3.6	1	NA		water_deficit
186	1	A2	NA	NA	97	52	5.4	16	2	3	4	2	NA		water_deficit
186	1	A3	NA	NA	53	29	4	19	3	3	1.8	2	NA		water_deficit
186	1	B1	NA	NA	65	61	5	22	3	NA	0.4	2	NA		water_deficit
186	1	B2	NA	NA	50	46	5.1	16	6	3	1.1	1	NA		water_deficit
186	1	B3	NA	NA	24	22	3.1	10	0	0	0	0	0		water_deficit
186	1	C1	NA	NA	145	90	6.1	30	1	NA	0.2	2	NA		water_deficit
