microbe_id	batch_id	plant_id	photo_id	OD	var_fresh_weight_mg	var_dry_weight_mg	var_rosette_diameter_cm	var_rosette_leaves	var_dry_rosette_leaves	var_stem_leaves	var_stem_height_cm	var_number_of_stems	var_stem_siliques	comments	condition
Control	3	A1	NA	0.0	158	23	3.90	16	1	1	0.1	1	NA		pgp
Control	3	A2	NA	0.0	193	27	5.10	18	2	NA	0.1	1	NA		pgp
Control	3	A3	NA	0.0	36	5	2.40	8	1	0	0	0	0		pgp
Control	3	A4	NA	0.0	42	5	2.80	8	0	0	0	0	0		pgp
Control	3	A5	NA	0.0	128	18	4.40	10	1	NA	1	1	NA		pgp
Control	3	B1	NA	0.0	54	5	3.60	8	1	0	0	0	0		pgp
Control	3	B2	NA	0.0	143	16	5.00	8	0	0	0	0	0		pgp
Control	3	B3	NA	0.0	331	46	6.70	18	1	3	1.6	1	2		pgp
Control	3	C1	NA	0.0	48	14	2.80	10	1	0	0	0	0		pgp
Control	3	C2	NA	0.0	45	17	5.00	12	1	0	0	0	0		pgp
Control	3	C3	NA	0.0	29	9	3.20	8	1	0	0	0	0		pgp
Control	3	D1	NA	0.0	39	17	1.60	6	0	3	1.8	1	0		pgp
Control	3	D2	NA	0.0	50	8	3.20	10	0	0	0	0	0		pgp
E. coli	3	A1	NA	0.9	38	33	5.40	17	2	0	0.3	1	1		pgp
E. coli	3	A2	NA	0.9	18	15	4.60	11	4	0	0	0	0		pgp
E. coli	3	A3	NA	0.9	12	9	3.50	10	1	0	0	0	0		pgp
E. coli	3	B1	NA	0.9	72	55	5.40	17	1	0	0	0	0		pgp
E. coli	3	B2	NA	0.9	30	17	4.30	11	3	0	0	0	0		pgp
E. coli	3	C1	NA	0.9	11	11	4.40	10	2	0	0	0	0		pgp
E. coli	3	C2	NA	0.9	12	11	3.60	10	2	0	0	0	0		pgp
E. coli	3	C3	NA	0.9	17	14	4.00	14	2	0	0.4	1	NA		pgp
E. coli	3	D1	NA	0.9	23	12	4.50	9	1	0	0.2	1	NA		pgp
E. coli	3	D2	NA	0.9	19	15	4.50	9	3	1	1.5	1	NA		pgp
E. coli	3	D3	NA	0.9	11	17	4.20	6	0	0	0	0	0		pgp
175	3	A1	NA	0.9	85	10	4.90	12	2	0	0	0	0		pgp
175	3	A2	NA	0.9	63	30	5.40	15	1	0	0	0	0		pgp
175	3	B1	NA	0.9	389	63	6.00	19	4	2	0.3	3	NA		pgp
175	3	B2	NA	0.9	137	18	5.30	16	2	0	0.1	2	NA		pgp
175	3	C1	NA	0.9	236	34	4.50	20	3	4	4.3	1	3		pgp
175	3	C2	NA	0.9	32	4	3.00	5	1	1	2.4	1	3		pgp
175	3	C3	NA	0.9	297	38	5.50	24	1	NA	1.5	3	4		pgp
175	3	D	NA	0.9	406	48	5.30	22	1	0	0	0	0		pgp
175	3	E	NA	0.9	34	30	4.50	16	0	0	0	0	0		pgp
204	3	A1	NA	0.9	121	13	4.60	11	2	7	4.9	1	1		pgp
204	3	A2	NA	0.9	187	24	6.50	20	1	0	0	0	0		pgp
204	3	A3	NA	0.9	187	25	5.50	12	2	0	0	0	0		pgp
204	3	A4	NA	0.9	165	20	6.00	14	2	0	0	0	0		pgp
204	3	B1	NA	0.9	568	72	7.40	24	4	9	8.8	2	2		pgp
204	3	B2	NA	0.9	289	39	6.80	18	4	0	0	0	0		pgp
204	3	C1	NA	0.9	239	34	5.10	16	1	0	0	0	0		pgp
204	3	C2	NA	0.9	268	35	6.00	12	1	6	4.2	1	1		pgp
204	3	D1	NA	0.9	397	52	7.50	14	2	6	2.3	1	1		pgp
204	3	D2	NA	0.9	156	22	4.00	16	1	5	4.6	1	1		pgp
234	3	A1	NA	0.9	44	30	5.40	19	1	2	0.1	1	0		pgp
234	3	A2	NA	0.9	25	18	4.00	10	1	0	0	0	0		pgp
234	3	A3	NA	0.9	35	15	4.60	11	3	0	0	0	0		pgp
234	3	B1	NA	0.9	182	30	5.70	12	3	0	0	0	0		pgp
234	3	B2	NA	0.9	70	12	4.50	12	0	0	0	0	0		pgp
234	3	C1	NA	0.9	100	15	5.00	12	1	0	0	0	0		pgp
234	3	C2	NA	0.9	90	15	5.00	6	1	2	2.6	1	NA		pgp
234	3	C3	NA	0.9	193	36	14.00	5.3	2	2	1	1	1		pgp
234	3	D	NA	0.9	297	63	7.10	20	1	NA	0.1	1	1		pgp
234	3	E1	NA	0.9	223	24	5.40	8	1	4	5.8	1	2		pgp
234	3	E2	NA	0.9	265	29	6.60	16	1	NA	0.1	1	NA		pgp
234	3	E3	NA	0.9	223	24	5.20	14	0	NA	NA	1	NA		pgp
253	3	A1	NA	0.9	127	34	5.00	19	2	1	0.5	1	1		pgp
253	3	A2	NA	0.9	89	24	4.30	17	3	0	0.3	2	2		pgp
253	3	B1	NA	0.9	433	78	6.30	24	3	4	2.2	1	1		pgp
253	3	C1	NA	0.9	30	8	3.00	9	2	0	0	0	0		pgp
253	3	C2	NA	0.9	87	49	6.40	22	4	0	0	0	0		pgp
253	3	C3	NA	0.9	5	0	2.50	6	2	0	0	0	0		pgp
253	3	D1	NA	0.9	17	12	3.60	14	3	0	0	0	0		pgp
253	3	D2	NA	0.9	24	17	4.70	12	3	0	0	0	0		pgp
253	3	D3	NA	0.9	13	7	3.70	7	1	0	0	0	0		pgp
253	3	E1	NA	0.9	209	37	6.00	24	4	3	4.6	2	2		pgp
263	3	A1	NA	0.9	15	3	3.10	6	2	0	0	0	0		pgp
263	3	A2	NA	0.9	14	4	2.30	8	2	0	0	0	0		pgp
263	3	A3	NA	0.9	57	17	3.30	12	2	0	0.4	1	NA		pgp
263	3	A4	NA	0.9	23	7	2.40	12	2	0	0	0	0		pgp
263	3	A5	NA	0.9	34	6	3.10	12	1	0	0	0	0		pgp
